customer_id,age,monthly_income,avg_account_balance,transactions_per_month,credit_card_spend,loan_status,days_since_last_txn
C00188,44,194131,1737329,69,96429,Car Loan,142
C00189,61,194004,1862084,62,185805,Car Loan,57
C00190,32,95986,1399994,51,459501,Car Loan,22
C00191,59,105959,324753,63,478187,Home Loan,165
C00192,22,22035,1738253,68,438949,Car Loan,40
C00193,23,129767,1551557,78,450131,No Loan,14
C00194,57,191817,1112056,16,445932,Home Loan,86
C00195,37,37241,798476,24,111151,Personal Loan,2
C00196,22,72975,993537,6,300670,Car Loan,0
C00197,22,174226,779597,57,280232,Personal Loan,74
C00198,48,176697,60486,31,327521,No Loan,138
C00199,43,196022,1108738,6,175477,Personal Loan,75
C00200,57,76396,739647,79,432058,Personal Loan,3
C00201,52,138920,34882,29,61788,No Loan,24
C00202,53,164403,583366,67,51529,No Loan,170
C00203,21,106226,850166,75,483155,Personal Loan,93
C00204,39,104719,1292256,3,112833,No Loan,167
C00205,22,83014,1686594,28,103578,No Loan,95
C00206,64,59346,179898,74,183455,No Loan,107
C00207,46,90411,1403705,48,39177,Car Loan,98
C00208,52,163326,311172,10,116903,Home Loan,94
C00209,26,179693,517871,33,39056,No Loan,99
C00210,52,96441,628226,67,481465,Home Loan,90
C00211,24,66121,647607,69,66421,Personal Loan,43
C00212,31,80197,561831,12,164704,No Loan,127
C00213,37,104577,653567,57,301829,No Loan,22
C00214,58,114634,34362,44,208294,Personal Loan,22
C00215,44,193503,425531,13,68590,No Loan,54
C00216,25,120211,163818,24,271121,Home Loan,160
C00217,54,155909,408273,44,352712,No Loan,76
C00218,26,163687,1296297,57,311111,No Loan,62
C00219,42,21466,834347,16,336216,Car Loan,102
C00220,31,50771,943565,21,408286,No Loan,59
C00221,36,103886,1891378,76,475689,Personal Loan,79
C00222,53,85911,694517,51,283644,No Loan,94
C00223,29,171818,378519,21,499203,No Loan,68
C00224,26,108422,1195970,60,377619,No Loan,113
C00225,36,93369,1647676,51,10011,No Loan,103
C00226,49,21893,476058,21,179111,No Loan,107
C00227,23,50573,825449,6,402112,No Loan,88
C00228,40,116907,848224,73,357479,Personal Loan,20
C00229,56,191946,950246,65,473334,Personal Loan,130
C00230,39,119956,1281784,76,433174,No Loan,175
C00231,46,138580,1042904,58,435128,Home Loan,9
C00232,23,184439,1444918,78,814,No Loan,86
C00233,39,172271,1857637,6,468492,No Loan,169
C00234,40,111404,1706478,65,417935,Personal Loan,90
C00235,52,77724,1979325,34,494297,No Loan,173
C00236,27,106133,101950,56,282294,No Loan,136
C00237,61,187477,179942,75,463710,No Loan,122
C00238,53,35989,1118405,3,3825,Home Loan,176
C00239,60,48931,774890,42,50368,Personal Loan,3
C00240,59,29290,1588452,62,408016,No Loan,89
C00241,38,189439,1971522,6,75535,No Loan,95
C00242,60,141136,896712,6,86390,Home Loan,28
C00243,21,99878,501195,63,223923,Personal Loan,85
C00244,31,110477,1356441,20,105076,No Loan,46
C00245,48,146299,697505,21,206089,No Loan,76
C00246,45,181205,277743,2,179577,No Loan,86
C00247,43,125686,339738,56,253477,No Loan,30
C00248,51,178124,480958,10,57899,Home Loan,50
C00249,50,127286,737790,70,213854,No Loan,168
C00250,62,60475,1711875,23,284745,No Loan,35
C00251,55,102666,257856,30,141749,Car Loan,167
C00252,27,116622,289293,78,422768,Personal Loan,94
C00253,36,155705,1967624,37,260321,Personal Loan,14
C00254,46,168376,726927,55,218930,No Loan,77
C00255,22,127573,1194856,49,461107,Personal Loan,157
C00256,21,66546,202170,34,467909,Personal Loan,157
C00257,32,27008,1424754,44,493915,No Loan,154
C00258,25,68291,1234140,22,123355,Car Loan,39
C00259,57,178477,1074527,31,353594,Home Loan,44
C00260,52,56386,184992,7,164364,Personal Loan,174
C00261,29,110909,576054,21,128424,No Loan,89
C00262,61,171899,1897022,16,125451,No Loan,55
C00263,55,53040,1212999,20,328241,No Loan,53
C00264,39,80354,482432,43,204775,No Loan,84
C00265,36,98543,1496178,44,147256,Home Loan,8
C00266,23,38157,616410,47,483249,No Loan,117
C00267,40,55315,800740,19,220408,Home Loan,64
C00268,44,55932,850684,48,454262,No Loan,107
C00269,53,172236,473361,79,496184,No Loan,128
C00270,44,165486,1017535,69,328885,Personal Loan,140
C00271,31,165399,1136787,11,61377,No Loan,37
C00272,28,133880,1474856,79,405255,Home Loan,172
C00273,56,152018,452095,29,45161,Car Loan,104
C00274,58,34693,1180110,45,166078,No Loan,39
C00275,60,47241,538008,68,148616,No Loan,142
C00276,40,135194,393348,36,12987,No Loan,177
C00277,55,115790,1489732,48,5239,Personal Loan,129
C00278,45,166612,609281,15,44785,No Loan,153
C00279,55,92255,990979,44,23358,Personal Loan,74
C00280,45,192275,314257,67,376903,No Loan,32
C00281,49,176153,840358,74,475890,Personal Loan,84
C00282,38,31350,1484995,40,187522,Home Loan,58
C00283,38,76809,1797837,14,219592,No Loan,94
C00284,22,121894,1976472,63,159500,No Loan,25
C00285,55,117557,1603769,51,9096,No Loan,102
C00286,36,193904,209580,79,47582,No Loan,20
C00287,61,179441,579673,58,417752,No Loan,176
C00288,56,51728,1084229,15,188467,No Loan,79
C00289,53,37576,1145441,65,373739,Car Loan,70
C00290,24,180073,1531512,55,461373,Car Loan,65
C00291,53,103384,655101,76,101494,Home Loan,36
C00292,34,20390,1199447,10,331628,No Loan,13
C00293,41,65436,1769039,42,263431,Personal Loan,107
C00294,40,31569,253535,11,185582,No Loan,134
C00295,28,164101,1592916,16,23902,No Loan,165
C00296,27,42490,142116,73,318332,No Loan,172
C00297,23,65875,155943,78,375038,No Loan,149
C00298,37,25867,225375,19,414380,No Loan,171
C00299,53,100820,510935,31,343348,No Loan,80
C00300,32,119515,1991314,73,132844,Car Loan,79
C00301,42,29121,1599245,53,184126,No Loan,102
C00302,42,21539,1726210,8,448094,Car Loan,34
C00303,50,168099,772522,24,126800,No Loan,101
C00304,58,147402,1010344,8,425454,No Loan,130
C00305,58,94229,1833881,48,235576,No Loan,117
C00306,28,159993,350252,30,320437,Personal Loan,94
C00307,47,70435,1288596,58,474514,No Loan,54
C00308,47,161382,54892,55,494658,No Loan,8
C00309,54,83965,186593,73,7213,No Loan,68
C00310,41,131048,882933,62,277085,No Loan,27
C00311,50,116444,744280,48,358025,Personal Loan,142
C00312,53,89922,350535,4,493936,No Loan,112
C00313,48,117799,285064,37,409180,No Loan,30
C00314,53,113948,1856710,8,26855,Home Loan,58
C00315,25,163314,1309792,1,451985,No Loan,81
C00316,39,28947,1025961,70,383883,Personal Loan,53
C00317,24,68785,1841902,47,476720,Home Loan,174
C00318,55,139963,1870993,75,1046,Car Loan,41
C00319,37,20507,1212935,5,277053,No Loan,22
C00320,64,178223,788059,50,210186,Personal Loan,108
C00321,48,31618,130702,24,416584,No Loan,85
C00322,50,94286,78527,47,378997,Personal Loan,64
C00323,49,36122,1200087,18,94135,No Loan,88
C00324,26,158426,920108,28,71255,No Loan,53
C00325,55,129598,754980,77,212568,Home Loan,117
C00326,61,182051,833667,5,220214,No Loan,104
C00327,57,106436,688019,30,246936,Home Loan,10
C00328,44,156109,292120,1,408840,Home Loan,62
C00329,49,48633,1288887,46,235787,No Loan,21
C00330,51,44495,874075,69,368522,No Loan,116
C00331,55,84550,728225,31,272496,No Loan,163
C00332,53,56483,1423351,70,358565,Car Loan,57
C00333,41,133181,728666,56,342683,No Loan,19
C00334,52,54069,1634561,28,271367,Personal Loan,143
C00335,43,158442,599670,16,490185,Personal Loan,92
C00336,53,139873,808083,54,249048,Car Loan,49
C00337,23,136843,185116,53,340398,Home Loan,89
C00338,38,91947,19633,12,328995,Personal Loan,103
C00339,45,190205,84164,20,50044,No Loan,126
C00340,62,115761,792001,34,480305,No Loan,112
C00341,51,133753,458116,53,352362,No Loan,73
C00342,23,151764,858941,64,85000,Home Loan,12
C00343,60,48926,128425,23,369384,Personal Loan,14
C00344,44,119782,1941134,27,424635,Home Loan,72
C00345,52,124700,779508,17,406983,Personal Loan,26
C00346,42,93984,1443242,48,203074,No Loan,135
C00347,43,194462,300182,21,293172,No Loan,177
C00348,22,69593,1233736,50,310097,No Loan,87
C00349,47,95609,1257825,40,57965,No Loan,153
C00350,62,25209,210538,3,234466,Personal Loan,35
C00351,22,146700,470432,17,69776,No Loan,148
C00352,46,157605,727153,61,293603,Personal Loan,51
C00353,37,106597,1520578,50,90932,Personal Loan,138
C00354,60,27211,1353858,6,344475,No Loan,7
C00355,53,29927,985814,28,155761,No Loan,56
C00356,29,137333,1999837,72,473662,No Loan,109
C00357,63,175666,206466,55,330126,No Loan,173
C00358,59,96382,1029389,58,396562,Personal Loan,129
C00359,49,159005,477243,45,176251,No Loan,63
C00360,62,123780,1537622,72,114773,Home Loan,179
C00361,46,60696,1240799,19,302661,Home Loan,10
C00362,55,87616,902172,29,331822,No Loan,133
C00363,45,157161,1689038,23,212678,Personal Loan,95
C00364,44,177195,316416,32,374635,Personal Loan,75
C00365,33,158869,142980,10,334767,Personal Loan,63
C00366,27,70013,409060,49,482504,No Loan,100
C00367,56,159418,842887,65,212243,No Loan,92
C00368,40,184744,1025669,29,452132,No Loan,43
C00369,21,168725,1646311,59,480970,No Loan,141
C00370,28,69556,734887,45,359553,Home Loan,82
C00371,36,143723,1392828,67,310719,Personal Loan,132
C00372,34,46140,441282,51,370645,Car Loan,98
C00373,32,21184,231301,11,307183,No Loan,24
C00374,43,185565,962508,6,181027,No Loan,177
C00375,35,195220,829765,67,80260,Personal Loan,101
C00376,48,175918,912651,62,55871,No Loan,72
C00377,54,131361,1398749,5,191750,No Loan,121
C00378,22,173267,1355417,9,120773,No Loan,70
C00379,52,25606,1857642,28,424567,No Loan,116
C00380,43,155028,916952,77,60693,Personal Loan,81
C00381,42,36555,1864569,38,293577,No Loan,129
C00382,45,110385,416249,43,74797,Personal Loan,115
C00383,42,169762,995391,21,210087,Home Loan,9
C00384,42,78502,60063,62,277948,No Loan,129
C00385,62,199921,1865929,46,223853,Car Loan,59
C00386,26,177419,548628,70,307245,No Loan,44
C00387,35,123844,592069,38,191187,Car Loan,135
C00388,63,111321,1854909,49,78363,No Loan,118
C00389,57,69056,1064214,75,107904,Personal Loan,6
C00390,53,118234,222986,39,306844,No Loan,71
C00391,28,61850,1360044,71,114952,Home Loan,20
C00392,64,47843,1404076,30,339720,Personal Loan,96
C00393,64,82320,226668,21,19477,No Loan,46
C00394,25,49793,299786,1,278271,Car Loan,0
C00395,59,190588,520518,32,217790,No Loan,139
C00396,24,168929,554666,8,26049,No Loan,175
C00397,26,39627,1890875,69,483279,Personal Loan,127
C00398,52,81822,1389406,30,12473,Personal Loan,93
C00399,50,75798,310019,8,213317,No Loan,131
C00400,55,195188,1171747,19,230582,No Loan,33
C00401,60,95318,1415781,59,323980,Car Loan,86
C00402,36,124186,1792665,55,304608,Personal Loan,31
C00403,33,107902,593665,30,13714,No Loan,2
C00404,62,179629,789627,79,323022,No Loan,67
C00405,50,91334,583979,36,427424,Car Loan,56
C00406,39,126719,1043240,55,359625,Personal Loan,113
C00407,37,143099,1511095,44,480320,Car Loan,151
C00408,39,193686,1507631,27,467899,No Loan,32
C00409,48,32720,316207,77,212875,Personal Loan,130
C00410,46,77608,621070,78,303658,Personal Loan,131
C00411,57,127449,1837760,54,96988,No Loan,29
C00412,46,122828,83343,48,267280,Personal Loan,69
C00413,43,146613,350215,30,98115,Personal Loan,48
C00414,29,92095,927996,39,31516,No Loan,29
C00415,32,125924,650687,13,339126,Home Loan,81
C00416,21,116452,560645,16,457094,Home Loan,143
C00417,21,107593,1518630,44,45099,Home Loan,133
C00418,54,186964,1872322,71,352204,Home Loan,23
C00419,52,126975,446913,27,13188,No Loan,114
C00420,45,97242,599571,45,497339,No Loan,91
C00421,60,136041,64567,35,237445,Home Loan,155
C00422,21,146202,314150,79,111073,No Loan,20
C00423,36,97606,242778,28,313332,No Loan,7
C00424,59,143769,1195334,7,386221,No Loan,35
C00425,25,138542,1639470,62,5560,No Loan,123
C00426,42,126438,1334611,51,108763,Personal Loan,8
C00427,49,20924,1498907,46,429613,No Loan,39
C00428,23,71322,631020,20,470409,No Loan,178
C00429,32,177550,721079,38,385795,Car Loan,128
C00430,46,91042,1017968,61,300226,Home Loan,116
C00431,36,66418,995534,32,215448,Home Loan,67
C00432,57,120699,959227,26,41430,Personal Loan,153
C00433,42,110140,821309,58,443738,Home Loan,167
C00434,49,31781,254465,39,40397,Home Loan,2
C00435,34,156587,229589,20,207932,Personal Loan,107
C00436,48,137358,543314,50,129189,Car Loan,121
C00437,25,56133,1336142,79,25247,No Loan,8
C00438,50,117628,1980324,52,476310,Car Loan,159
C00439,25,96946,300625,22,151015,No Loan,3
C00440,32,105058,1929188,53,170532,No Loan,5
C00441,36,160167,638672,66,41986,No Loan,72
C00442,46,171542,1306347,43,306658,No Loan,25
C00443,46,63129,63031,23,211980,Personal Loan,129
C00444,41,28531,1979601,77,445601,Car Loan,113
C00445,59,57038,1972826,64,405847,Car Loan,84
C00446,56,107939,1923135,9,67008,Car Loan,85
C00447,53,62674,359398,7,158027,No Loan,130
C00448,50,147572,597520,41,309511,Car Loan,34
C00449,57,49831,1720948,54,424018,No Loan,113
C00450,43,77174,347368,65,70408,Home Loan,58
C00451,30,31279,421673,2,224155,No Loan,37
C00452,25,189292,468788,4,305485,No Loan,32
C00453,56,80610,765791,78,144763,Car Loan,120
C00454,54,73051,1869968,32,371930,Car Loan,142
C00455,51,76652,1024526,2,266897,Personal Loan,99
C00456,30,85524,92695,64,1833,Home Loan,141
C00457,39,26470,1183642,14,235304,No Loan,44
C00458,52,192870,1192558,20,270789,Personal Loan,47
C00459,21,73473,1318413,49,236192,Personal Loan,171
C00460,25,170952,1693177,8,377572,No Loan,117
C00461,24,64439,1986938,63,358121,No Loan,164
C00462,36,34308,558098,46,40024,No Loan,28
C00463,44,111563,549380,21,248140,Personal Loan,83
C00464,36,55081,1535571,32,108853,No Loan,161
C00465,22,29837,1635969,8,211670,No Loan,112
C00466,48,138128,1739441,16,140707,No Loan,116
C00467,52,187896,1257876,40,151136,Personal Loan,42
C00468,47,184145,295699,27,9940,Personal Loan,160
C00469,40,132651,601222,18,297313,Personal Loan,18
C00470,44,117624,1650652,35,340791,No Loan,7
C00471,32,177371,868689,52,240739,No Loan,158
C00472,55,50063,1857947,15,45200,No Loan,10
C00473,53,89453,1458617,63,187401,Home Loan,7
C00474,53,122166,1537579,53,444374,No Loan,152
C00475,63,34506,500707,66,160811,No Loan,112
C00476,57,133604,160223,31,239354,Personal Loan,147
C00477,32,46026,1705932,61,148865,No Loan,37
C00478,23,178744,1577900,64,83682,Home Loan,134
C00479,21,189489,1409668,34,33677,No Loan,116
C00480,53,72413,1923715,55,459512,Personal Loan,166
C00481,60,85066,568339,59,285166,No Loan,73
C00482,30,70971,496513,3,464364,No Loan,71
C00483,63,178353,85738,17,494760,No Loan,105
C00484,64,133978,340740,78,158337,Home Loan,117
C00485,49,179163,1637935,78,530,Car Loan,19
C00486,33,70494,135613,46,271695,No Loan,10
C00487,32,123864,78601,38,290538,Home Loan,143
C00488,51,169682,1083449,35,42987,Personal Loan,41
C00489,22,152151,1745584,1,442200,Car Loan,89
C00490,55,115386,1125044,29,330240,Home Loan,51
C00491,43,197823,817902,4,346241,No Loan,164
C00492,37,106126,1774065,61,332783,Personal Loan,51
C00493,46,182023,1061904,17,417306,No Loan,136
C00494,28,100863,142405,28,476673,No Loan,162
C00495,49,98291,780807,50,238841,No Loan,94
C00496,46,145659,126173,8,2781,Car Loan,134
C00497,30,27235,51638,34,17330,Car Loan,1
C00498,46,102733,802700,59,267401,Home Loan,24
C00499,54,82712,1255251,18,58642,Car Loan,75
C00500,61,172545,1167496,59,185321,Home Loan,93
C00501,27,145849,1950387,27,313807,No Loan,93
C00502,24,99823,415261,16,34956,No Loan,40
C00503,31,124215,1749677,10,235439,No Loan,179
C00504,49,52230,1489562,76,277759,No Loan,86
C00505,56,104573,12887,22,263025,No Loan,80
C00506,45,60644,758266,16,395063,No Loan,123
C00507,41,199736,1027658,12,235975,Home Loan,76
C00508,56,65203,1078494,75,444343,Home Loan,37
C00509,30,86677,826929,51,121265,Personal Loan,41
C00510,57,176497,360706,1,349790,Car Loan,77
C00511,29,143246,721369,27,127148,No Loan,63
C00512,44,104817,1327649,67,299480,Home Loan,131
C00513,55,89806,1560084,12,81850,No Loan,158
C00514,55,62814,1680065,30,95654,No Loan,124
C00515,56,90219,525337,9,171003,Car Loan,140
C00516,38,190956,1022977,53,437140,No Loan,26
C00517,59,115345,739459,61,285110,No Loan,58
C00518,52,120088,1432286,54,437239,No Loan,64
C00519,44,89322,295690,37,11320,Personal Loan,24
C00520,43,41650,1043646,65,451057,Car Loan,36
C00521,52,114242,214496,42,65125,No Loan,123
C00522,57,160262,697698,49,460968,Home Loan,70
C00523,32,58196,1481075,4,222172,No Loan,141
C00524,33,190521,611782,64,235077,No Loan,93
C00525,43,190733,1524962,79,483153,No Loan,151
C00526,45,49709,1793723,51,117296,Home Loan,66
C00527,55,100428,313710,72,125355,No Loan,175
C00528,61,29943,352608,60,192930,Personal Loan,102
C00529,50,194312,1811717,79,451930,No Loan,90
C00530,37,196832,1181855,31,11780,No Loan,165
C00531,40,41042,86991,72,338374,Home Loan,89
C00532,45,63894,359824,58,201417,No Loan,69
C00533,42,157941,1343733,4,475314,No Loan,58
C00534,33,76759,1105708,22,112696,No Loan,11
C00535,39,125973,260069,3,491193,Personal Loan,50
C00536,56,64306,490714,79,106075,Personal Loan,165
C00537,32,128369,688444,47,253731,No Loan,173
C00538,61,171990,1947863,38,133001,No Loan,9
C00539,39,48379,681503,33,357297,No Loan,8
C00540,32,140667,1145203,78,381666,No Loan,86
C00541,29,154034,127772,48,407460,Home Loan,93
C00542,27,164923,1985259,65,360559,Home Loan,51
C00543,48,137626,1282991,26,371859,Personal Loan,178
C00544,34,196819,981230,8,122636,No Loan,21
C00545,51,145180,670582,50,377546,Personal Loan,72
C00546,39,72349,982469,38,386425,Home Loan,82
C00547,36,165817,1566853,10,11116,Personal Loan,71
C00548,25,25730,1312589,42,219026,Home Loan,117
C00549,55,164993,1904076,37,474459,Personal Loan,67
C00550,32,39023,1470741,26,345445,Personal Loan,4
C00551,45,196421,1069692,12,429111,No Loan,82
C00552,41,146796,711412,49,209708,Personal Loan,120
